"","V3","V2.x","V2.y","V2.x.x","V5","V1","V2.y.y"
"29","01220-4501",2022,2023,2024,"01220","012203"," 士別市"
"30","01221-4501",2022,2023,2024,"01221","012211"," 名寄市"
"31","01222-4301",2022,2023,2024,"01222","012220"," 三笠市"
"32","01223-4604",2022,2023,2024,"01223","012238"," 根室市"
"33","01224-4309",2022,2023,2024,"01224","012246"," 千歳市"
"34","01225-4315",2022,2023,2024,"01225","012254"," 滝川市"
"35","01226-4315",2022,2023,2024,"01226","012262"," 砂川市"
"36","01227-4315",2022,2023,2024,"01227","012271"," 歌志内市"
"37","01228-4500",2022,2023,2024,"01228","012289"," 深川市"
"38","01229-4500",2022,2023,2024,"01229","012297"," 富良野市"
"39","01230-4302",2022,2023,2024,"01230","012301"," 登別市"
"40","01231-4309",2022,2023,2024,"01231","012319"," 恵庭市"
"41","01233-4302",2022,2023,2024,"01233","012335"," 伊達市"
"42","01234-4316",2022,2023,2024,"01234","012343"," 北広島市"
"43","01235-4306",2022,2023,2024,"01235","012351"," 石狩市"
"44","01236-4400",2022,2023,2024,"01236","012360"," 北斗市"
"45","01303-4308",2022,2023,2024,"01303","013030"," 当別町"
"46","01304-4308",2022,2023,2024,"01304","013048"," 新篠津村"
"47","01331-4400",2022,2023,2024,"01331","013315"," 松前町"
"48","01332-4400",2022,2023,2024,"01332","013323"," 福島町"
"49","01333-4400",2022,2023,2024,"01333","013331"," 知内町"
"50","01334-4400",2022,2023,2024,"01334","013340"," 木古内町"
"51","01337-4400",2022,2023,2024,"01337","013374"," 七飯町"
"52","01343-4400",2022,2023,2024,"01343","013439"," 鹿部町"
"53","01345-4402",2022,2023,2024,"01345","013455"," 森町"
"54","01346-4402",2022,2023,2024,"01346","013463"," 八雲町"
"55","01347-4402",2022,2023,2024,"01347","013471"," 長万部町"
"56","01361-4401",2022,2023,2024,"01361","013617"," 江差町"
"57","01362-4401",2022,2023,2024,"01362","013625"," 上ノ国町"
"58","01363-4401",2022,2023,2024,"01363","013633"," 厚沢部町"
"59","01364-4401",2022,2023,2024,"01364","013641"," 乙部町"
"60","01367-4401",2022,2023,2024,"01367","013676"," 奥尻町"
"61","01370-4402",2022,2023,2024,"01370","013706"," 今金町"
"62","01371-4402",2022,2023,2024,"01371","013714"," せたな町"
"63","01391-4402",2022,2023,2024,"01391","013919"," 島牧村"
"64","01392-4402",2022,2023,2024,"01392","013927"," 寿都町"
"65","01393-4402",2022,2023,2024,"01393","013935"," 黒松内町"
"66","01394-4334",2022,2023,2024,"01394","013943"," 蘭越町"
"67","01395-4334",2022,2023,2024,"01395","013951"," ニセコ町"
"68","01396-4334",2022,2023,2024,"01396","013960"," 真狩村"
"69","01397-4334",2022,2023,2024,"01397","013978"," 留寿都村"
"70","01398-4334",2022,2023,2024,"01398","013986"," 喜茂別町"
"71","01399-4334",2022,2023,2024,"01399","013994"," 京極町"
"72","01400-4334",2022,2023,2024,"01400","014001"," 倶知安町"
"73","01401-4334",2022,2023,2024,"01401","014010"," 共和町"
"74","01402-4334",2022,2023,2024,"01402","014028"," 岩内町"
"75","01403-4334",2022,2023,2024,"01403","014036"," 泊村"
"76","01404-4334",2022,2023,2024,"01404","014044"," 神恵内村"
"77","01405-4304",2022,2023,2024,"01405","014052"," 積丹町"
"78","01406-4304",2022,2023,2024,"01406","014061"," 古平町"
"79","01407-4304",2022,2023,2024,"01407","014079"," 仁木町"
"80","01408-4304",2022,2023,2024,"01408","014087"," 余市町"
"81","01409-4304",2022,2023,2024,"01409","014095"," 赤井川村"
"82","01423-4301",2022,2023,2024,"01423","014231"," 南幌町"
"83","01424-4315",2022,2023,2024,"01424","014249"," 奈井江町"
"84","01425-4315",2022,2023,2024,"01425","014257"," 上砂川町"
"85","01427-4301",2022,2023,2024,"01427","014273"," 由仁町"
"86","01428-4301",2022,2023,2024,"01428","014281"," 長沼町"
"87","01429-4301",2022,2023,2024,"01429","014290"," 栗山町"
"88","01430-4301",2022,2023,2024,"01430","014303"," 月形町"
"89","01431-4315",2022,2023,2024,"01431","014311"," 浦臼町"
"90","01432-4315",2022,2023,2024,"01432","014320"," 新十津川町"
"91","01433-4500",2022,2023,2024,"01433","014338"," 妹背牛町"
"92","01434-4500",2022,2023,2024,"01434","014346"," 秩父別町"
"93","01436-4315",2022,2023,2024,"01436","014362"," 雨竜町"
"94","01437-4500",2022,2023,2024,"01437","014371"," 北竜町"
"95","01438-4500",2022,2023,2024,"01438","014389"," 沼田町"
"96","01439-4500",2022,2023,2024,"01439",NA,NA
"97","01452-4500",2022,2023,2024,"01452","014524"," 鷹栖町"
"98","01453-4500",2022,2023,2024,"01453","014532"," 東神楽町"
"99","01454-4500",2022,2023,2024,"01454","014541"," 当麻町"
"100","01455-4500",2022,2023,2024,"01455","014559"," 比布町"
"101","01456-4500",2022,2023,2024,"01456","014567"," 愛別町"
"102","01457-4500",2022,2023,2024,"01457","014575"," 上川町"
"103","01458-4500",2022,2023,2024,"01458","014583"," 東川町"
"104","01459-4500",2022,2023,2024,"01459","014591"," 美瑛町"
"105","01460-4500",2022,2023,2024,"01460","014605"," 上富良野町"
"106","01461-4500",2022,2023,2024,"01461","014613"," 中富良野町"
"107","01462-4500",2022,2023,2024,"01462","014621"," 南富良野町"
"108","01463-4500",2022,2023,2024,"01463","014630"," 占冠村"
"109","01464-4501",2022,2023,2024,"01464","014648"," 和寒町"
"110","01465-4501",2022,2023,2024,"01465","014656"," 剣淵町"
"111","01468-4501",2022,2023,2024,"01468","014681"," 下川町"
"112","01469-4501",2022,2023,2024,"01469","014699"," 美深町"
"113","01470-4501",2022,2023,2024,"01470","014702"," 音威子府村"
"114","01471-4501",2022,2023,2024,"01471","014711"," 中川町"
"115","01481-4502",2022,2023,2024,"01481","014818"," 増毛町"
"116","01482-4502",2022,2023,2024,"01482","014826"," 小平町"
"117","01483-4502",2022,2023,2024,"01483","014834"," 苫前町"
"118","01484-4502",2022,2023,2024,"01484","014842"," 羽幌町"
"119","01485-4502",2022,2023,2024,"01485","014851"," 初山別村"
"120","01486-4503",2022,2023,2024,"01486","014869"," 遠別町"
"121","01487-4503",2022,2023,2024,"01487","014877"," 天塩町"
"122","01488-4503",2022,2023,2024,"01488",NA,NA
"123","01511-4503",2022,2023,2024,"01511","015113"," 猿払村"
"124","01512-4501",2022,2023,2024,"01512","015121"," 浜頓別町"
"125","01513-4501",2022,2023,2024,"01513","015130"," 中頓別町"
"126","01514-4501",2022,2023,2024,"01514","015148"," 枝幸町"
"127","01515-4501",2022,NA,NA,"01515",NA,NA
"128","01516-4503",2022,2023,2024,"01516","015164"," 豊富町"
"129","01517-4503",2022,2023,2024,"01517","015172"," 礼文町"
"130","01518-4503",2022,2023,2024,"01518","015181"," 利尻町"
"131","01519-4503",2022,2023,2024,"01519","015199"," 利尻富士町"
"132","01543-4603",2022,2023,2024,"01543","015431"," 美幌町"
"133","01544-4603",2022,2023,2024,"01544","015440"," 津別町"
"134","01545-4603",2022,2023,2024,"01545","015458"," 斜里町"
"135","01546-4603",2022,2023,2024,"01546","015466"," 清里町"
"136","01547-4603",2022,2023,2024,"01547","015474"," 小清水町"
"137","01549-4603",2022,2023,2024,"01549","015491"," 訓子府町"
"138","01550-4603",2022,2023,2024,"01550","015504"," 置戸町"
"139","01552-4603",2022,2023,2024,"01552","015521"," 佐呂間町"
"140","01555-4603",2022,2023,2024,"01555","015555"," 遠軽町"
"141","01558-4603",2022,NA,NA,"01558",NA,NA
"142","01559-4603",2022,2023,2024,"01559","015598"," 湧別町"
"143","01560-4514",2022,2023,2024,"01560","015601"," 滝上町"
"144","01561-4514",2022,2023,2024,"01561","015610"," 興部町"
"145","01562-4514",2022,2023,2024,"01562","015628"," 西興部村"
"146","01563-4514",2022,2023,2024,"01563","015636"," 雄武町"
"147","01564-4603",2022,2023,2024,"01564","015644"," 大空町"
"148","01571-4302",2022,2023,2024,"01571","015717"," 豊浦町"
"149","01572-4302",2022,2023,2024,"01572",NA,NA
"150","01575-4302",2022,2023,2024,"01575","015750"," 壮瞥町"
"151","01578-4323",2022,2023,2024,"01578","015784"," 白老町"
"152","01581-4323",2022,2023,2024,"01581","015814"," 厚真町"
"153","01584-4302",2022,2023,2024,"01584","015849"," 洞爺湖町"
"154","01585-4323",2022,2023,2024,"01585","015857"," 安平町"
"155","01586-4323",2022,2023,2024,"01586","015865"," むかわ町"
"156","01601-4329",2022,2023,2024,"01601","016012"," 日高町"
"157","01602-4329",2022,2023,2024,"01602","016021"," 平取町"
"158","01604-4329",2022,2023,2024,"01604","016047"," 新冠町"
"159","01607-4329",2022,2023,2024,"01607","016071"," 浦河町"
"160","01608-4329",2022,2023,2024,"01608","016080"," 様似町"
"161","01609-4329",2022,2023,2024,"01609","016098"," えりも町"
"162","01610-4329",2022,2023,2024,"01610","016101"," 新ひだか町"
"163","01631-4601",2022,2023,2024,"01631","016314"," 音更町"
"164","01632-4601",2022,2023,2024,"01632","016322"," 士幌町"
"165","01633-4601",2022,2023,2024,"01633","016331"," 上士幌町"
"166","01634-4601",2022,2023,2024,"01634","016349"," 鹿追町"
"167","01635-4601",2022,2023,2024,"01635","016357"," 新得町"
"168","01636-4601",2022,2023,2024,"01636","016365"," 清水町"
"169","01637-4601",2022,2023,2024,"01637","016373"," 芽室町"
"170","01638-4601",2022,2023,2024,"01638","016381"," 中札内村"
"171","01639-4601",2022,2023,2024,"01639","016390"," 更別村"
"172","01641-4601",2022,2023,2024,"01641","016411"," 大樹町"
"173","01642-4601",2022,2023,2024,"01642","016420"," 広尾町"
"174","01643-4601",2022,2023,2024,"01643","016438"," 幕別町"
"175","01644-4601",2022,2023,2024,"01644","016446"," 池田町"
"176","01645-4601",2022,2023,2024,"01645","016454"," 豊頃町"
"177","01646-4601",2022,2023,2024,"01646","016462"," 本別町"
"178","01647-4601",2022,2023,2024,"01647","016471"," 足寄町"
"179","01648-4601",2022,2023,2024,"01648","016489"," 陸別町"
"180","01649-4601",2022,2023,2024,"01649","016497"," 浦幌町"
"181","01661-4600",2022,2023,2024,"01661","016616"," 釧路町"
"182","01662-4600",2022,2023,2024,"01662","016624"," 厚岸町"
"183","01663-4600",2022,2023,2024,"01663","016632"," 浜中町"
"184","01664-4600",2022,2023,2024,"01664","016641"," 標茶町"
"185","01665-4600",2022,2023,2024,"01665","016659"," 弟子屈町"
"186","01667-4600",2022,2023,2024,"01667","016675"," 鶴居村"
"187","01668-4600",2022,2023,2024,"01668","016683"," 白糠町"
"188","01691-4625",2022,2023,2024,"01691","016918"," 別海町"
"189","01692-4625",2022,2023,2024,"01692","016926"," 中標津町"
"190","01693-4625",2022,2023,2024,"01693","016934"," 標津町"
"191","01694-4625",2022,2023,2024,"01694","016942"," 羅臼町"
"192","02201-4200",2022,2023,2024,"02201","022012"," 青森市"
"193","02202-4202",2022,2023,2024,"02202","022021"," 弘前市"
"194","02203-4204",2022,2023,2024,"02203","022039"," 八戸市"
"195","02204-4202",2022,2023,2024,"02204","022047"," 黒石市"
"196","02205-4201",2022,2023,2024,"02205","022055"," 五所川原市"
"197","02206-4234",2022,2023,2024,"02206","022063"," 十和田市"
"198","02207-4234",2022,2023,2024,"02207","022071"," 三沢市"
"199","02208-4211",2022,2023,2024,"02208","022080"," むつ市"
"200","02209-4201",2022,2023,2024,"02209","022098"," つがる市"
"201","02210-4202",2022,2023,2024,"02210","022101"," 平川市"
"202","02301-4200",2022,2023,2024,"02301","023019"," 平内町"
"203","02303-4200",2022,2023,2024,"02303","023035"," 今別町"
"204","02304-4200",2022,2023,2024,"02304","023043"," 蓬田村"
"205","02307-4200",2022,2023,2024,"02307","023078"," 外ヶ浜町"
"206","02321-4201",2022,2023,2024,"02321","023213"," 鰺ヶ沢町"
"207","02323-4201",2022,2023,2024,"02323","023230"," 深浦町"
"208","02343-4202",2022,2023,2024,"02343","023434"," 西目屋村"
"209","02361-4202",2022,2023,2024,"02361","023612"," 藤崎町"
"210","02362-4202",2022,2023,2024,"02362","023621"," 大鰐町"
"211","02367-4202",2022,2023,2024,"02367","023671"," 田舎館村"
"212","02381-4201",2022,2023,2024,"02381","023817"," 板柳町"
"213","02384-4201",2022,2023,2024,"02384","023841"," 鶴田町"
"214","02387-4201",2022,2023,2024,"02387","023876"," 中泊町"
"215","02401-4234",2022,2023,2024,"02401","024015"," 野辺地町"
"216","02402-4234",2022,2023,2024,"02402","024023"," 七戸町"
"217","02405-4234",2022,2023,2024,"02405","024058"," 六戸町"
"218","02406-4211",2022,2023,2024,"02406","024066"," 横浜町"
"219","02408-4234",2022,2023,2024,"02408","024082"," 東北町"
"220","02411-4234",2022,2023,2024,"02411","024112"," 六ヶ所村"
"221","02412-4234",2022,2023,2024,"02412","024121"," おいらせ町"
"222","02423-4211",2022,2023,2024,"02423","024236"," 大間町"
"223","02424-4211",2022,2023,2024,"02424","024244"," 東通村"
"224","02425-4211",2022,2023,2024,"02425","024252"," 風間浦村"
"225","02426-4211",2022,2023,2024,"02426","024261"," 佐井村"
"226","02441-4204",2022,2023,2024,"02441","024414"," 三戸町"
"227","02442-4204",2022,2023,2024,"02442","024422"," 五戸町"
"228","02443-4204",2022,2023,2024,"02443","024431"," 田子町"
"229","02445-4204",2022,2023,2024,"02445","024457"," 南部町"
"230","02446-4204",2022,2023,2024,"02446","024465"," 階上町"
"231","02450-4204",2022,2023,2024,"02450","024503"," 新郷村"
"232","03201-4000",2022,2023,2024,"03201","032018"," 盛岡市"
"233","03202-4004",2022,2023,2024,"03202","032026"," 宮古市"
"234","03203-4027",2022,2023,2024,"03203","032034"," 大船渡市"
"235","03205-4001",2022,2023,2024,"03205","032051"," 花巻市"
"236","03206-4001",2022,2023,2024,"03206","032069"," 北上市"
"237","03207-4002",2022,2023,2024,"03207","032077"," 久慈市"
"238","03208-4001",2022,2023,2024,"03208","032085"," 遠野市"
"239","03209-4006",2022,2023,2024,"03209","032093"," 一関市"
"240","03210-4027",2022,2023,2024,"03210","032107"," 陸前高田市"
"241","03211-4004",2022,2023,2024,"03211","032115"," 釜石市"
"242","03213-4002",2022,2023,2024,"03213","032131"," 二戸市"
"243","03214-4000",2022,2023,2024,"03214","032140"," 八幡平市"
"244","03215-4006",2022,2023,2024,"03215","032158"," 奥州市"
"245","03216-4000",2022,2023,2024,"03216","032166"," 滝沢市"
"246","03301-4000",2022,2023,2024,"03301","033014"," 雫石町"
"247","03302-4000",2022,2023,2024,"03302","033022"," 葛巻町"
"248","03303-4000",2022,2023,2024,"03303","033031"," 岩手町"
"249","03305-4000",2022,NA,NA,"03305",NA,NA
"250","03321-4000",2022,2023,2024,"03321","033219"," 紫波町"
"251","03322-4000",2022,2023,2024,"03322","033227"," 矢巾町"
"252","03366-4001",2022,2023,2024,"03366","033669"," 西和賀町"
"253","03381-4006",2022,2023,2024,"03381","033812"," 金ケ崎町"
"254","03402-4006",2022,2023,2024,"03402","034029"," 平泉町"
"255","03441-4027",2022,2023,2024,"03441","034410"," 住田町"
"256","03461-4004",2022,2023,2024,"03461","034614"," 大槌町"
"257","03482-4004",2022,2023,2024,"03482","034827"," 山田町"
"258","03483-4004",2022,2023,2024,"03483","034835"," 岩泉町"
"259","03484-4004",2022,2023,2024,"03484","034843"," 田野畑村"
"260","03485-4004",2022,2023,2024,"03485","034851"," 普代村"
"261","03487-4004",2022,NA,NA,"03487",NA,NA
"262","03501-4002",2022,2023,2024,"03501","035017"," 軽米町"
"263","03503-4002",2022,2023,2024,"03503","035033"," 野田村"
"264","03506-4002",2022,2023,2024,"03506","035068"," 九戸村"
"265","03507-4002",2022,2023,2024,"03507","035076"," 洋野町"
"266","03524-4002",2022,2023,2024,"03524","035246"," 一戸町"
"267","04101-3700",2022,2023,2024,"04101","041017"," 仙台市青葉区"
"268","04102-3700",2022,2023,2024,"04102","041025"," 仙台市宮城野区"
"269","04103-3700",2022,2023,2024,"04103","041033"," 仙台市若林区"
"270","04104-3700",2022,2023,2024,"04104","041041"," 仙台市太白区"
"271","04105-3700",2022,2023,2024,"04105","041050"," 仙台市泉区"
"272","04202-3703",2022,2023,2024,"04202","042021"," 石巻市"
"273","04203-3706",2022,2023,2024,"04203","042030"," 塩竈市"
"274","04205-3705",2022,2023,2024,"04205","042056"," 気仙沼市"
"275","04206-3701",2022,2023,2024,"04206","042064"," 白石市"
"276","04207-3708",2022,2023,2024,"04207","042072"," 名取市"
"277","04208-3701",2022,2023,2024,"04208","042081"," 角田市"
"278","04209-3706",2022,2023,2024,"04209","042099"," 多賀城市"
"279","04211-3708",2022,2023,2024,"04211","042111"," 岩沼市"
"280","04212-3704",2022,2023,2024,"04212","042129"," 登米市"
"281","04213-3702",2022,2023,2024,"04213","042137"," 栗原市"
"282","04214-3703",2022,2023,2024,"04214","042145"," 東松島市"
"283","04215-3702",2022,2023,2024,"04215","042153"," 大崎市"
"284","04216-3700",2022,2023,2024,"04216","042161"," 富谷市"
"285","04301-3701",2022,2023,2024,"04301","043010"," 蔵王町"
"286","04302-3701",2022,2023,2024,"04302","043028"," 七ヶ宿町"
"287","04321-3701",2022,2023,2024,"04321","043214"," 大河原町"
"288","04322-3701",2022,2023,2024,"04322","043222"," 村田町"
"289","04323-3701",2022,2023,2024,"04323","043231"," 柴田町"
"290","04324-3701",2022,2023,2024,"04324","043249"," 川崎町"
"291","04341-3701",2022,2023,2024,"04341","043419"," 丸森町"
"292","04361-3708",2022,2023,2024,"04361","043613"," 亘理町"
"293","04362-3708",2022,2023,2024,"04362","043621"," 山元町"
"294","04401-3706",2022,2023,2024,"04401","044016"," 松島町"
"295","04404-3706",2022,2023,2024,"04404","044041"," 七ヶ浜町"
"296","04406-3706",2022,2023,2024,"04406","044067"," 利府町"
"297","04421-3700",2022,2023,2024,"04421","044211"," 大和町"
"298","04422-3700",2022,2023,2024,"04422","044229"," 大郷町"
"299","04423-3700",2022,2023,2024,"04423",NA,NA
"300","04424-3700",2022,2023,2024,"04424","044245"," 大衡村"
"301","04442-3702",2022,NA,NA,"04442",NA,NA
"302","04444-3702",2022,2023,2024,"04444","044440"," 色麻町"
"303","04445-3702",2022,2023,2024,"04445","044458"," 加美町"
"304","04501-3702",2022,2023,2024,"04501","045012"," 涌谷町"
"305","04505-3702",2022,2023,2024,"04505","045055"," 美里町"
"306","04548-3704",2022,NA,NA,"04548",NA,NA
"307","04581-3703",2022,2023,2024,"04581","045811"," 女川町"
"308","04603-3705",2022,NA,NA,"04603",NA,NA
"309","04606-3705",2022,2023,2024,"04606","046060"," 南三陸町"
"310","05201-4100",2022,2023,2024,"05201","052019"," 秋田市"
"311","05202-4101",2022,2023,2024,"05202","052027"," 能代市"
"312","05203-4106",2022,2023,2024,"05203","052035"," 横手市"
"313","05204-4103",2022,2023,2024,"05204","052043"," 大館市"
"314","05206-4100",2022,2023,2024,"05206","052060"," 男鹿市"
"315","05207-4106",2022,2023,2024,"05207","052078"," 湯沢市"
"316","05209-4103",2022,2023,2024,"05209","052094"," 鹿角市"
"317","05210-4102",2022,2023,2024,"05210","052108"," 由利本荘市"
"318","05211-4100",2022,2023,2024,"05211","052116"," 潟上市"
"319","05212-4106",2022,2023,2024,"05212","052124"," 大仙市"
"320","05213-4103",2022,2023,2024,"05213","052132"," 北秋田市"
"321","05214-4102",2022,2023,2024,"05214","052141"," にかほ市"
"322","05215-4106",2022,2023,2024,"05215","052159"," 仙北市"
"323","05303-4103",2022,2023,2024,"05303","053031"," 小坂町"
"324","05327-4103",2022,2023,2024,"05327","053279"," 上小阿仁村"
"325","05346-4101",2022,2023,2024,"05346","053465"," 藤里町"
"326","05348-4101",2022,2023,2024,"05348","053481"," 三種町"
"327","05349-4101",2022,2023,2024,"05349","053490"," 八峰町"
"328","05361-4100",2022,2023,2024,"05361","053619"," 五城目町"
"329","05363-4100",2022,2023,2024,"05363","053635"," 八郎潟町"
"330","05366-4100",2022,2023,2024,"05366","053660"," 井川町"
"331","05368-4100",2022,2023,2024,"05368","053686"," 大潟村"
"332","05423-4106",2022,2023,2024,"05423",NA,NA
"333","05434-4106",2022,2023,2024,"05434","054348"," 美郷町"
"334","05463-4106",2022,2023,2024,"05463","054631"," 羽後町"
"335","05464-4106",2022,2023,2024,"05464","054640"," 東成瀬村"
"336","06201-3900",2022,2023,2024,"06201","062014"," 山形市"
"337","06202-3903",2022,2023,2024,"06202","062022"," 米沢市"
"338","06203-3904",2022,2023,2024,"06203","062031"," 鶴岡市"
"339","06204-3905",2022,2023,2024,"06204","062049"," 酒田市"
"340","06205-3902",2022,2023,2024,"06205","062057"," 新庄市"
"341","06206-3901",2022,2023,2024,"06206","062065"," 寒河江市"
"342","06207-3900",2022,2023,2024,"06207","062073"," 上山市"
"343","06208-3909",2022,2023,2024,"06208","062081"," 村山市"
"344","06209-3903",2022,2023,2024,"06209","062090"," 長井市"
"345","06210-3900",2022,2023,2024,"06210","062103"," 天童市"
"346","06211-3909",2022,2023,2024,"06211","062111"," 東根市"
"347","06212-3909",2022,2023,2024,"06212","062120"," 尾花沢市"
"348","06213-3903",2022,2023,2024,"06213","062138"," 南陽市"
"349","06301-3900",2022,2023,2024,"06301","063011"," 山辺町"
"350","06302-3900",2022,2023,2024,"06302","063029"," 中山町"
"351","06321-3901",2022,2023,2024,"06321","063215"," 河北町"
"352","06322-3901",2022,2023,2024,"06322","063223"," 西川町"
"353","06323-3901",2022,2023,2024,"06323","063231"," 朝日町"
"354","06324-3901",2022,2023,2024,"06324","063240"," 大江町"
"355","06341-3909",2022,2023,2024,"06341","063410"," 大石田町"
"356","06361-3902",2022,2023,2024,"06361","063614"," 金山町"
"357","06362-3902",2022,2023,2024,"06362","063622"," 最上町"
"358","06363-3902",2022,2023,2024,"06363","063631"," 舟形町"
"359","06364-3902",2022,2023,2024,"06364","063649"," 真室川町"
"360","06365-3902",2022,2023,2024,"06365","063657"," 大蔵村"
"361","06366-3902",2022,2023,2024,"06366","063665"," 鮭川村"
"362","06367-3902",2022,2023,2024,"06367","063673"," 戸沢村"
"363","06381-3903",2022,2023,2024,"06381","063819"," 高畠町"
"364","06382-3903",2022,2023,2024,"06382","063827"," 川西町"
"365","06401-3903",2022,2023,2024,"06401","064017"," 小国町"
"366","06402-3903",2022,2023,2024,"06402","064025"," 白鷹町"
"367","06403-3903",2022,2023,2024,"06403","064033"," 飯豊町"
"368","06426-3904",2022,2023,2024,"06426","064262"," 三川町"
"369","06428-3905",2022,2023,2024,"06428","064289"," 庄内町"
"370","06441-3904",2022,NA,NA,"06441",NA,NA
"371","06461-3905",2022,2023,2024,"06461","064611"," 遊佐町"
"372","07201-3800",2022,2023,2024,"07201","072010"," 福島市"
"373","07202-3804",2022,2023,2024,"07202","072028"," 会津若松市"
"374","07203-3802",2022,2023,2024,"07203","072036"," 郡山市"
"375","07204-3805",2022,2023,2024,"07204","072044"," いわき市"
"376","07205-3803",2022,2023,2024,"07205","072052"," 白河市"
"377","07207-3802",2022,2023,2024,"07207","072079"," 須賀川市"
"378","07208-3804",2022,2023,2024,"07208","072087"," 喜多方市"
"379","07209-3801",2022,2023,2024,"07209","072095"," 相馬市"
"380","07210-3808",2022,2023,2024,"07210","072109"," 二本松市"
"381","07211-3802",2022,2023,2024,"07211","072117"," 田村市"
"382","07212-3801",2022,2023,2024,"07212","072125"," 南相馬市"
"383","07213-3800",2022,2023,2024,"07213","072133"," 伊達市"
"384","07214-3808",2022,2023,2024,"07214","072141"," 本宮市"
"385","07301-3800",2022,2023,2024,"07301","073016"," 桑折町"
"386","07303-3800",2022,2023,2024,"07303","073032"," 国見町"
"387","07308-3800",2022,2023,2024,"07308","073083"," 川俣町"
"388","07309-3800",2022,2023,2024,"07309",NA,NA
"389","07321-3808",2022,NA,NA,"07321",NA,NA
"390","07322-3808",2022,2023,2024,"07322","073229"," 大玉村"
"391","07342-3802",2022,2023,2024,"07342","073423"," 鏡石町"
"392","07344-3802",2022,2023,2024,"07344","073440"," 天栄村"
"393","07362-3836",2022,2023,2024,"07362","073628"," 下郷町"
"394","07364-3836",2022,2023,2024,"07364","073644"," 檜枝岐村"
"395","07367-3836",2022,2023,2024,"07367","073679"," 只見町"
"396","07368-3836",2022,2023,2024,"07368","073687"," 南会津町"
"397","07402-3804",2022,2023,2024,"07402","074021"," 北塩原村"
"398","07405-3804",2022,2023,2024,"07405","074055"," 西会津町"
"399","07407-3804",2022,2023,2024,"07407","074071"," 磐梯町"
"400","07408-3804",2022,2023,2024,"07408","074080"," 猪苗代町"
"401","07421-3804",2022,2023,2024,"07421","074217"," 会津坂下町"
"402","07422-3804",2022,2023,2024,"07422","074225"," 湯川村"
"403","07423-3804",2022,2023,2024,"07423","074233"," 柳津町"
"404","07441-3804",2022,NA,NA,"07441",NA,NA
"405","07444-3804",2022,2023,2024,"07444","074446"," 三島町"
"406","07445-3804",2022,2023,2024,"07445","074454"," 金山町"
"407","07446-3804",2022,2023,2024,"07446","074462"," 昭和村"
"408","07447-3804",2022,2023,2024,"07447","074471"," 会津美里町"
"409","07461-3803",2022,2023,2024,"07461","074616"," 西郷村"
"410","07464-3803",2022,2023,2024,"07464","074641"," 泉崎村"
"411","07465-3803",2022,2023,2024,"07465","074659"," 中島村"
"412","07466-3803",2022,2023,2024,"07466","074667"," 矢吹町"
"413","07481-3803",2022,2023,2024,"07481","074811"," 棚倉町"
"414","07482-3803",2022,2023,2024,"07482","074829"," 矢祭町"
"415","07483-3803",2022,2023,2024,"07483","074837"," 塙町"
"416","07484-3803",2022,2023,2024,"07484","074845"," 鮫川村"
"417","07501-3803",2022,2023,2024,"07501","075019"," 石川町"
"418","07502-3802",2022,2023,2024,"07502","075027"," 玉川村"
"419","07503-3802",2022,2023,2024,"07503","075035"," 平田村"
"420","07504-3803",2022,2023,2024,"07504","075043"," 浅川町"
"421","07505-3803",2022,2023,2024,"07505","075051"," 古殿町"
